JobTitle,URL,Company,Location,Description,Date,Salary,DateScraped
,https://indeed.com/rc/clk?jk=baff85ef38b78a55&fccid=fe2d21eef233e94a&vjs=3,"Amazon Dev Center U.S., Inc.",New York NY,"Experience being part of a team that implements Agile software engineering practices.
2+ years of professional experience contributing to system designs and…",6 days ago,Unknown,2021-06-18 01:10:35.044340
,https://indeed.com/company/Consumer-Reports/jobs/Software-Engineer-870432e4e52a4413?fccid=adea62ae96d0c2c1&vjs=3,Consumer Reports,Yonkers NY ,"Collaborate with other software engineers, and teams ( Devops, Infosec, Product, QA etc ) to implement quality software solutions.",6 days ago,Unknown,2021-06-18 01:10:35.044340
Systems Software Engineer,https://indeed.com/rc/clk?jk=c185cbac6872d96e&fccid=fe2d21eef233e94a&vjs=3,"Amazon Web Services, Inc.",New York NY,"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews…",30+ days ago,Unknown,2021-06-18 01:10:35.045337
Software Engineer - Post Execution Synthetics,https://indeed.com/rc/clk?jk=49b4a7a9f0ee0872&fccid=16a97ed26c75bf2d&vjs=3,Goldman Sachs,New York NY ,The SPG organization is part of a front to back alignment where engineers are embedded with the revenue generating part of the business.,22 days ago,Unknown,2021-06-18 01:10:35.045337
AreaX Software Engineer Lead,https://indeed.com/rc/clk?jk=2a7a9b4a97bef12c&fccid=aaf3b433897ea465&vjs=3,"JPMorgan Chase Bank, N.A.",New York NY,"Expertise in least one modern language: java, javascript, typescript, python.
AreaX, is charged with taking a concept to working prototype within six to 12…",12 days ago,Unknown,2021-06-18 01:10:35.046334
Front End Engineer,https://indeed.com/rc/clk?jk=e378a54c508d6898&fccid=fe2d21eef233e94a&vjs=3,Amazon.com Services LLC,New York NY,Experience with using and applying the appropriate programming paradigms (e.g. object-oriented and/or functional programming) and front-end software design…,30+ days ago,Unknown,2021-06-18 01:10:35.046334
Software Engineer,https://indeed.com/rc/clk?jk=9457899372b10a5a&fccid=83a28da9948d5899&vjs=3,The Topps Company,New York NY ,"Topps is seeking a product-minded software engineer to build quality iOS and Android apps around our big properties such as MLB, WWE, Star Wars, Marvel and…",30+ days ago,Unknown,2021-06-18 01:10:35.047332
Machine Learning Engineer,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_MxR_KhF2xXQML5mIZuvJX4uk2H0SsvPI2DC4uumjR9i4F6AWgIsURjp9FqUOyUOi96vRpkfR2f0jt4OjqdNCiPisY6_jECNv3BzKij9uTJLebbvyYdLH9Mo5JnFfOf2gDcrrTYPm1eJDE36FspS33W_NGUZ61pZA-DHqCntO2WifB_KZ4AgHo_JkGA-BAjzurUbRAn8nvSmrz4Z5_Ue0fBkCZVp7cgBi7ZXW0UBCdtMReSxmIXqkReTxVvwJA40xpq9STjcqC21fsrK4A4J4P4TmGEyHdewR1F25AIBnGIST0xT4W8KhWz7-A4oyXMulkV5q7hdfuGlbr_IUw2-CVk2Pd7C2U1jcde-LEFvjti56mM65Xmkwb_UCRHezRICDEd-JwSsPGR4JQER6-OJ-O-xZ79BCih37B-dZay3fSRehwXBoK4v7wRnn0C0zOGNSreFwTo-stZNqCXdnqff7omfvSyQY74VbHtaChsIKAO8XXds-6uxENJGriiAXTOYWw__B3mNfTb5a&p=7&fvj=0&vjs=3,Robert Half,New York NY ,"Robert Half Technology matches IT professionals with remote or on-site jobs on a temporary, project or full-time basis.
2+ years working experience preferred.",21 days ago,"$85,000 - $100,000 a year",2021-06-18 01:10:35.048330
Production Systems Software Engineer,https://indeed.com/rc/clk?jk=69ff605d6aea8d8a&fccid=1b50fcfb150b1b48&vjs=3,The New York Times,New York NY,"5+ years of software engineering experience with front-end development experience.
Experience building applications on a major cloud provider (AWS or GCP).",14 days ago,Unknown,2021-06-18 01:10:35.048330
Software Development Engineer II - Knowledge Tech,https://indeed.com/rc/clk?jk=62a6845264324a31&fccid=fe2d21eef233e94a&vjs=3,Amazon.com Services LLC,New York NY,"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews…",29 days ago,Unknown,2021-06-18 01:10:35.048330
Full Stack Engineer (Pre-Visit),https://indeed.com/rc/clk?jk=8790047988e5c896&fccid=674ea8c64db67a21&vjs=3,Cedar Inc,New York NY,"At least 2 years of professional software development experience.
Competitive pay, employer-paid healthcare, stock options.",30+ days ago,Unknown,2021-06-18 01:10:35.049330
,https://indeed.com/rc/clk?jk=d9303599b3b6e01b&fccid=a2a22e0f7187af21&vjs=3,Hungryroot,New York NY,"The ideal candidate is obsessed with delivering the best possible customer experience, values software engineering best practices, and knows how to make the…",3 days ago,Unknown,2021-06-18 01:10:35.050327
,https://indeed.com/rc/clk?jk=d94128f1b8612c6b&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,New York NY,"To accelerate our customers transformation leveraging cloud, we combine world-class learning and talent development expertise; deep experience in cloud change…",6 days ago,Unknown,2021-06-18 01:10:35.050327
Software Engineer,https://indeed.com/rc/clk?jk=9754aad849922063&fccid=1230acb7e56c6df5&vjs=3,Gannett,New York NY,"Knowledge of dynamic languages for server-side programming: Ruby, JavaScript,.
Experience with git source control and Github.
Amazon AWS and Google Cloud.",30+ days ago,Unknown,2021-06-18 01:10:35.051324
Software Engineer - VMware,https://indeed.com/rc/clk?jk=7a2b6445d2cbfca9&fccid=5bd99dfa21c8a490&vjs=3,Bank of America,Jersey City NJ ,Required Skills:3-5 years of production experience with cloud and virtualization design and solutionsExtensive code/workflow development experience working with…,30+ days ago,Unknown,2021-06-18 01:10:35.051324
"Equity Technology, Software Engineer",https://indeed.com/rc/clk?jk=d56057bc5d1cae60&fccid=3187d6d05b329ebf&vjs=3,Balyasny,New York NY,"4+ years of professional software development experience.
Deep expertise in an object-oriented programming language such C# (preferred) or Java.",30+ days ago,Unknown,2021-06-18 01:10:35.595266
Software Engineer II,https://indeed.com/rc/clk?jk=83ebb121dd92a1f4&fccid=25b5166547bbf543&vjs=3,AT&T,New York NY,"You will act as lead software engineer - mentoring junior software engineers, developing and maintaining software for automation.",30+ days ago,Unknown,2021-06-18 01:10:35.596268
